2	18	223.62.202.122	Android	Gecko	17시 03분 33초	http://m.search.naver.com/search.naver?where=m&qdt=1&acq=&acr=&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=mob_hty.idx
2	17	180.67.115.40	Windows XP	Internet Explorer 7.0	16시 43분 42초	http://search.daum.net/search?w=tot&m=&q=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0%20%EC%97%B0%EC%8A%B5%EB%B3%B5&nil_profile=jockeytop&nzq=%EC%9C%84%EB%84%88%EC%8A%A4%EB%8C%84%EC%8A%A4%EB%B3%B5&topq=&DA=SJTO
2	16	14.55.154.96	Windows 7	Gecko	16시 37분 41초	http://search.naver.com/search.naver?where=nexearch&sm=tab_jum&ie=utf8&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5
2	15	95.108.154.252	Search Robot	yandex.com	16시 23분 33초	Direct Contact (Typing or Bookmark)
3	14	173.252.73.113	Search Robot	www.facebook.com	16시 14분 31초	Direct Contact (Typing or Bookmark)
3	13	218.150.155.76	Android	Gecko	15시 22분 23초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&qdt=0&acq=%EB%AC%B4%EC%9A%A9%EC%97%B0&acr=1
3	12	106.243.249.210	Windows 7	Chrome/36.0.1985.125	15시 12분 30초	http://map.naver.com/local/siteview.nhn?code=32990812
3	11	39.7.53.235	Mac OS	Gecko	14시 49분 12초	Direct Contact (Typing or Bookmark)
3	10	211.210.66.197	Windows 7	FireFox/30.0	14시 39분 34초	http://blog.naverblogwidget.com/ExternalWidgetRender.nhn?blogId=loosfly
3	9	175.223.18.142	Mac OS	Gecko	13시 48분 03초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.psn&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=%EB%A3%A8%EC%8A%A4&acr=1&qdt=0
3	8	168.188.34.187	Windows 7	Internet Explorer 7.0	13시 35분 58초	http://search.naver.com/search.naver?where=nexearch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&ie=utf8&sm=tab_she&qdt=0
3	7	39.7.58.201	Android	Gecko	13시 31분 23초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
3	6	39.7.54.164	Android	Gecko	13시 11분 33초	Direct Contact (Typing or Bookmark)
3	5	172.56.6.79	Mac OS	Gecko	13시 06분 04초	Direct Contact (Typing or Bookmark)
3	4	175.197.130.243	Windows XP	Internet Explorer 7.0	12시 58분 43초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
3	3	39.116.157.197	Windows XP	Internet Explorer 8.0	12시 52분 25초	http://search.daum.net/search?w=tot&m=&q=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%97%B0%EC%8A%B5%EB%B3%B5&nil_profile=jockeytop&nzq=%EB%8C%84%EC%8A%A4%EB%B3%B5%20%EC%95%8C%EB%A0%88%EB%A7%88%EB%82%98&topq=&DA=SJTO
3	2	93.182.137.12	Mac OS	Chrome/27.0.1453.116	12시 10분 22초	http://www.loosfly.com/
3	1	223.62.188.60	Android	Gecko	11시 52분 45초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%B0%9C%EB%A0%88+%EC%97%B0%EC%8A%B5%EB%B3%B5&qdt=0&acq=%EC%97%B0%EC%8A%B5%EB%B3%B5&acr=4
